,sentence,foodlist
2654,내일 식사는 오후에 로제 파스타랑 배추 김치를 많이 먹을것임,"['로제 파스타', '배추 김치']"
2655,익일 식사로는 12시에 간짜장면 탕수육을 먹었다,"['간짜장면', '탕수육']"
2656,"오늘 식사는 9시에 스테이크, 스테이크를 적정량 먹을꺼야","['스테이크', '스테이크']"
2657,내일 식사는 1시에 햄버거 스테이크를 살짝 먹음,"['햄버거', '스테이크']"
2658,금일 식사로는 저녁에 순두부찌개랑 순두부찌개를 적정량 먹을것 같아,"['순두부찌개', '순두부찌개']"
2659,내일 식사로는 8시에 김치찌개하고 된장 라면을 많이 먹을게,"['김치찌개', '된장 라면']"
2660,그저께 간식으로 떡과 팟타이를 살짝 먹을꺼야,"['떡', '팟타이']"
2661,내일 식사는 9시에 한우와 떡만두국을 없음 먹음,"['한우', '떡만두국']"
2662,점심으로 탕수육 총각 김치를 없음 먹었어,"['탕수육', '총각 김치']"
2663,일일 저녁으로 콩밥 김치찌개를 없음 먹을게,"['콩밥', '김치찌개']"
2664,금일 식사는 오후에 간짜장면이랑 알리오올리오를 적정량 먹을것 같아,"['간짜장면', '알리오올리오']"
2665,내일 모레 점심에 삼겹살하고 마라탕을 조금 먹음,"['삼겹살', '마라탕']"
2666,"오늘 식사는 9시에 소고기, 떡만두국을 급하게 먹을것 같아","['소고기', '떡만두국']"
2667,익일 식사는 7시에 수육하고 오복쟁반을 맛있게 먹을게,"['수육', '오복쟁반']"
2668,일일 3시에 콩밥하고 순두부찌개를 조금만 먹었네,"['콩밥', '순두부찌개']"
2669,점심에 돈까스 족발 보쌈을 살짝 먹을꺼야,"['돈까스', '족발 보쌈']"
2670,오늘 오전에 팟타이 쌀밥을 맛있게 먹을꺼야,"['팟타이', '쌀밥']"
2671,금일 식사로는 12시에 족발 총각 김치를 맛있게 먹을것 같아,"['족발', '총각 김치']"
2672,"내일 식사는 4시에 토마토, 된장찌개를 조금만","['토마토', '된장찌개']"
2673,내일 식사는 2시에 만두국 삼겹살을 조금만 먹을것임,"['만두국', '삼겹살']"
2674,내일  8시에 돈까스하고 떡을 먹었어,"['돈까스', '떡']"
2675,내일 식사로는 11시에 배추하고 김치를 많이 먹을꺼야,"['배추', '김치']"
2676,익일 식사는 오전에 갈비 나시고랭을 맛있게 먹었어,"['갈비', '나시고랭']"
2677,익일 1시에 돈까스하고 김밥을 맛있게 먹을꺼야,"['돈까스', '김밥']"
2678,"익일 식사는 간식으로 알리오올리오, 오복쟁반을 먹을게","['알리오올리오', '오복쟁반']"
2679,오늘 식사는 점심에 김밥하고 토마토 샐러드를 적정량 먹을게,"['김밥', '토마토 샐러드']"
2680,익일 식사로는 2시에 배추 김치하고 제육볶음을 살짝 먹을것임,"['배추 김치', '제육볶음']"
2681,금일 식사는 10시에 배추 된장국하고 떡을 적정량 먹었다,"['배추 된장국', '떡']"
2682,일일 4시에 토마토랑 토마토 샐러드를 급하게 먹을꺼야,"['토마토', '토마토 샐러드']"
2683,내일 모레 8시에 스테이크랑 보쌈을 많이 먹을게,"['스테이크', '보쌈']"
2684,익일 5시에 수육하고 알리오올리오를 적당히 먹을것임,"['수육', '알리오올리오']"
2685,익일 점심으로 팟타이랑 탕수육을,"['팟타이', '탕수육']"
2686,내일 모레 아침에 삼겹살이랑 토마토 샐러드를 많이 먹을것 같아,"['삼겹살', '토마토 샐러드']"
2687,금일 식사는 아침에 로제 파스타랑 한우를 쪼금 먹을것 같아,"['로제 파스타', '한우']"
2688,내일  3시에 소고기 비빔밥 토마토 샐러드를 빨리,"['소고기 비빔밥', '토마토 샐러드']"
2689,내일 식사는 9시에 냉면이랑 소고기를 먹었다,"['냉면', '소고기']"
2690,금일 식사는 저녁으로 쌀밥하고 김치를 적정량 먹을게,"['쌀밥', '김치']"
2691,익일 식사는 12시에 김밥하고 토마토 샐러드를 적정량,"['김밥', '토마토 샐러드']"
2692,금일 2시에 갈비탕 피자를 조금만,"['갈비탕', '피자']"
2693,익일 식사는 4시에 배추 김치와 콩밥을 빨리 먹을것임,"['배추 김치', '콩밥']"
2694,익일 식사로는 저녁에 제육볶음과 갈비를 살짝 먹었어,"['제육볶음', '갈비']"
2695,내일 식사로는 7시에 총각 김치랑 된장 라면을 적정량 먹을것 같아,"['총각 김치', '된장 라면']"
2696,내일  4시에 콩밥하고 마라탕을 맛있게 먹을것 같아,"['콩밥', '마라탕']"
2697,그저께 1시에 탕수육이랑 토마토 파스타를 조금 먹을게,"['탕수육', '토마토 파스타']"
2698,그저께 4시에 스테이크 김치 볶음밥을 조금 먹었네,"['스테이크', '김치 볶음밥']"
2699,내일  저녁에 콩밥이랑 김밥을 적당히 먹을것 같아,"['콩밥', '김밥']"
2700,7시에 토마토 샐러드하고 로제 파스타를 맛있게 먹었다,"['토마토 샐러드', '로제 파스타']"
2701,어제 1시에 수육하고 김치를 많이 먹음,"['수육', '김치']"
2702,내일  간식으로 간짜장하고 소고기를 살짝 먹었다,"['간짜장', '소고기']"
2703,익일 5시에 토마토 파스타와 스테이크를 없음 먹었어,"['토마토 파스타', '스테이크']"
2704,익일 식사는 3시에 라면과 나시고랭을 조금 먹을꺼야,"['라면', '나시고랭']"
2705,"금일 6시에 라면하고 볶음밥과 한우, 볶음밥을 적정량","['라면', '볶음밥', '한우', '볶음밥']"
2706,익일 5시에 팟타이하고 쌀밥을 많이 먹을꺼야,"['팟타이', '쌀밥']"
2707,오늘 식사로는 2시에 소고기 비빔밥하고 토마토를 먹었다,"['소고기 비빔밥', '토마토']"
2708,금일 3시에 김치 볶음밥하고 탕수육을 먹을꺼야,"['김치 볶음밥', '탕수육']"
2709,익일 식사는 점심에 만두국과 비빔밥을 적정량 먹었네,"['만두국', '비빔밥']"
2710,"익일 7시에 평양 냉면, 떡을 적정량 먹음","['평양 냉면', '떡']"
2711,내일 식사는 10시에 피자와 토마토 파스타를 맛있게 먹을것임,"['피자', '토마토 파스타']"
2712,"오늘 식사는 9시에 김치찌개, 떡만두국을 빨리 먹을꺼야","['김치찌개', '떡만두국']"
2713,"내일 모레 4시에 배추 된장국, 김치찜 족발 보쌈과 족발을 쪼금 먹었다","['배추 된장국', '김치찜', '족발 보쌈', '족발']"
2714,금일 식사는 8시에 스테이크 밥을 쪼금,"['스테이크', '밥']"
2715,내일  6시에 피자와 밥을 맛있게 먹었네,"['피자', '밥']"
2716,내일 식사는 7시에 냉면과 짜장면을 적당히 먹을꺼야,"['냉면', '짜장면']"
2717,아침으로 삼겹살이랑 돈까스를 맛있게 먹을꺼야,"['삼겹살', '돈까스']"
2718,오늘 식사로는 저녁에 돈까스 된장 라면하고 배추 된장국을 쪼금 먹을것 같아,"['돈까스', '된장 라면', '배추 된장국']"
2719,금일 식사로는 오전에 배추 김치하고 볶음밥을 조금,"['배추 김치', '볶음밥']"
2720,내일 식사는 12시에 김치 볶음밥하고 된장찌개 알리오올리오를 살짝 먹었다,"['김치 볶음밥', '된장찌개', '알리오올리오']"
2721,오늘 식사로는 4시에 갈비와 알리오올리오를 없음 먹을것 같아,"['갈비', '알리오올리오']"
2722,내일 식사는 3시에 떡만두국과 비빔밥을 많이 먹을것 같아,"['떡만두국', '비빔밥']"
2723,"오늘 식사는 족발 보쌈, 갈비 냉면하고 냉면하고 김치찌개를 조금 먹을게","['족발 보쌈', '갈비', '냉면', '냉면', '김치찌개']"
2724,금일 식사는 3시에 나시고랭이랑 탕수육을 살짝 먹을것임,"['나시고랭', '탕수육']"
2725,금일 식사로는 저녁으로 토마토 샐러드랑 오복쟁반을 없음 먹을것 같아,"['토마토 샐러드', '오복쟁반']"
2726,내일 식사는 점심으로 볶음밥과 김밥을 조금 먹을게,"['볶음밥', '김밥']"
2727,"어제 아침으로 배추 김치랑 쌀밥, 순두부찌개를 조금 먹을꺼야","['배추 김치', '쌀밥', '순두부찌개']"
2728,어제 12시에 나시고랭 짜장면을 쪼금 먹었다,"['나시고랭', '짜장면']"
2729,내일 모레 쌀밥이랑 순두부찌개를 살짝,"['쌀밥', '순두부찌개']"
2730,내일  2시에 된장찌개 스테이크를 살짝 먹었네,"['된장찌개', '스테이크']"
2731,내일 모레 1시에 된장찌개 나시고랭을 조금 먹을꺼야,"['된장찌개', '나시고랭']"
2732,그저께 6시에 나시고랭하고 된장 라면을 빨리 먹었어,"['나시고랭', '된장 라면']"
2733,금일 식사는 점심에 밥과 배추 김치를 많이 먹을것 같아,"['밥', '배추 김치']"
2734,금일 식사는 오전에 떡하고 순두부찌개를 살짝 먹었다,"['떡', '순두부찌개']"
2735,점심에 족발 보쌈하고 알리오올리오를 맛있게 먹었어,"['족발 보쌈', '알리오올리오']"
2736,내일 모레 5시에 배추 된장국과 간짜장면하고 김치찌개를 급하게 먹을것임,"['배추 된장국', '간짜장면', '김치찌개']"
2737,오늘 식사로는 7시에 김치 볶음밥하고 짜장면을 맛있게,"['김치 볶음밥', '짜장면']"
2738,내일 식사로는 오전에 나시고랭하고 간짜장을 조금만,"['나시고랭', '간짜장']"
2739,금일 오전에 비빔밥 제육볶음을 먹을게,"['비빔밥', '제육볶음']"
2740,금일 식사로는 아침으로 평양 냉면 밥을 빨리 먹을꺼야,"['평양 냉면', '밥']"
2741,익일 식사는 저녁으로 나시고랭이랑 한우를 적정량 먹을게,"['나시고랭', '한우']"
2742,금일 식사는 6시에 김밥 콩밥을 적정량,"['김밥', '콩밥']"
2743,일일 아침으로 비빔밥을 급하게 먹었어,['비빔밥']
2744,일일 2시에 된장찌개와 떡을 조금만,"['된장찌개', '떡']"
2745,익일 식사로는 8시에 수육하고 나시고랭을 맛있게 먹을것임,"['수육', '나시고랭']"
2746,오늘 식사로는 8시에 김치찌개랑 햄버거를 살짝,"['김치찌개', '햄버거']"
2747,내일 모레 점심으로 탕수육하고 갈비탕하고 간짜장면이랑 콩밥 간짜장면을 없음 먹을게,"['탕수육', '갈비탕', '간짜장면', '콩밥', '간짜장면']"
2748,금일 식사는 7시에 토마토 파스타하고 비빔밥이랑 된장찌개랑 로제 파스타랑 보쌈을 쪼금 먹었어,"['토마토 파스타', '비빔밥', '된장찌개', '로제 파스타', '보쌈']"
2749,"어제 8시에 한우, 김치를 적정량 먹었네","['한우', '김치']"
2750,내일  1시에 삼겹살을 많이 먹음,['삼겹살']
2751,어제 4시에 밥 김밥을 없음 먹었다,"['밥', '김밥']"
2752,일일 3시에 짜장면하고 팟타이를 급하게 먹었어,"['짜장면', '팟타이']"
2753,오늘 12시에 쌀밥과 스테이크를 살짝 먹을꺼야,"['쌀밥', '스테이크']"
2754,익일 식사는 쌀밥이랑 김치를 맛있게 먹었다,"['쌀밥', '김치']"
2755,익일 식사로는 아침에 족발 보쌈이랑 배추를 적당히 먹었다,"['족발 보쌈', '배추']"
2756,일일 오후에 김치 볶음밥하고 탕수육을 많이 먹을것임,"['김치 볶음밥', '탕수육']"
2757,"오늘 6시에 알리오올리오, 냉면을 빨리 먹었다","['알리오올리오', '냉면']"
2758,"오늘 식사로는 10시에 마라탕, 배추 된장국을 많이 먹었네","['마라탕', '배추 된장국']"
2759,"금일 식사로는 3시에 평양 냉면, 소고기를 없음 먹을꺼야","['평양 냉면', '소고기']"
2760,금일 아침에 김밥하고 오복쟁반을 조금만,"['김밥', '오복쟁반']"
2761,10시에 라면과 콩밥을 적당히 먹을꺼야,"['라면', '콩밥']"
2762,어제 9시에 제육볶음하고 배추 된장국을 적당히 먹을꺼야,"['제육볶음', '배추 된장국']"
2763,"점심에 볶음밥과 알리오올리오하고 로제 파스타, 스테이크를 살짝 먹었다","['볶음밥', '알리오올리오', '로제 파스타', '스테이크']"
2764,내일 식사로는 오전에 토마토 샐러드랑 제육볶음을 급하게 먹을것 같아,"['토마토 샐러드', '제육볶음']"
2765,"오늘 식사로는 5시에 소고기 비빔밥, 팟타이를 적당히 먹었어","['소고기 비빔밥', '팟타이']"
2766,오늘 식사는 점심에 총각 김치 토마토 샐러드를 적당히 먹었다,"['총각 김치', '토마토 샐러드']"
2767,"익일 아침에 간짜장, 나시고랭을 쪼금 먹었네","['간짜장', '나시고랭']"
2768,내일  저녁으로 김치 볶음밥하고 냉면을 조금만 먹을것 같아,"['김치 볶음밥', '냉면']"
2769,"익일 식사는 아침에 족발, 배추 김치를 살짝 먹을것임","['족발', '배추 김치']"
2770,익일 저녁으로 배추 배추를 조금만,"['배추', '배추']"
2771,익일 식사로는 4시에 만두국하고 볶음밥을 빨리,"['만두국', '볶음밥']"
2772,익일 식사로는 12시에 밥하고 알리오올리오를 적당히 먹을것임,"['밥', '알리오올리오']"
2773,오늘 식사로는 간식으로 배추 된장국이랑 비빔밥을 빨리 먹음,"['배추 된장국', '비빔밥']"
2774,그저께 저녁으로 콩밥을 조금만 먹었어,['콩밥']
2775,오늘 식사로는 11시에 밥과 콩밥을 적당히 먹었다,"['밥', '콩밥']"
2776,금일 식사는 10시에 된장 라면하고 제육볶음을 먹음,"['된장 라면', '제육볶음']"
2777,오늘 오후에 평양 냉면이랑 간짜장을 많이 먹을것임,"['평양 냉면', '간짜장']"
2778,익일 식사로는 5시에 스테이크 총각 김치를 적정량 먹었어,"['스테이크', '총각 김치']"
2779,그저께 10시에 배추 떡을 적당히 먹을것임,"['배추', '떡']"
2780,어제 오후에 팟타이하고 밥을 조금,"['팟타이', '밥']"
2781,내일 식사로는 2시에 만두국 팟타이를 조금,"['만두국', '팟타이']"
2782,익일 1시에 알리오올리오와 된장찌개를 급하게 먹었다,"['알리오올리오', '된장찌개']"
2783,일일 4시에 짜장면이랑 콩밥을 적정량 먹을게,"['짜장면', '콩밥']"
2784,익일 식사로는 아침으로 제육볶음하고 짜장면을 조금만 먹을게,"['제육볶음', '짜장면']"
2785,일일 간식으로 햄버거 볶음밥을 조금만,"['햄버거', '볶음밥']"
2786,"내일 식사로는 3시에 배추 김치, 탕수육을 많이 먹을것임","['배추 김치', '탕수육']"
2787,"내일 모레 점심에 총각 김치, 김치 볶음밥을 적당히 먹을게","['총각 김치', '김치 볶음밥']"
2788,내일 모레 간식으로 김치 볶음밥과 배추 된장국을 빨리 먹었네,"['김치 볶음밥', '배추 된장국']"
2789,오늘 5시에 순두부찌개하고 떡을 적정량 먹을꺼야,"['순두부찌개', '떡']"
2790,익일 7시에 족발 보쌈과 배추 된장국을 빨리 먹었어,"['족발 보쌈', '배추 된장국']"
2791,어제 아침에 볶음밥 김치 볶음밥을 빨리 먹을것 같아,"['볶음밥', '김치 볶음밥']"
2792,일일 간식으로 탕수육과 간짜장을 빨리 먹을것임,"['탕수육', '간짜장']"
2793,일일 1시에 평양 냉면이랑 된장찌개를 없음 먹을것임,"['평양 냉면', '된장찌개']"
2794,내일 모레 4시에 간짜장과 갈비를 조금 먹음,"['간짜장', '갈비']"
2795,그저께 점심으로 볶음밥하고 족발 보쌈을 없음 먹을것 같아,"['볶음밥', '족발 보쌈']"
2796,익일 1시에 평양 냉면을 많이 먹을것 같아,['평양 냉면']
2797,1시에 수육과 볶음밥을 조금만 먹을것임,"['수육', '볶음밥']"
2798,오늘 식사는 6시에 배추 김치를 살짝 먹었네,['배추 김치']
2799,"오늘 식사는 점심에 토마토 파스타, 제육볶음을 빨리 먹었네","['토마토 파스타', '제육볶음']"
2800,어제 점심으로 나시고랭 떡만두국을 쪼금 먹을것 같아,"['나시고랭', '떡만두국']"
2801,오늘 식사로는 4시에 밥과 김치 볶음밥을 적당히 먹음,"['밥', '김치 볶음밥']"
2802,금일 식사로는 3시에 토마토 파스타랑 탕수육을 조금만 먹을꺼야,"['토마토 파스타', '탕수육']"
2803,익일 4시에 볶음밥하고 배추 김치를 없음 먹었어,"['볶음밥', '배추 김치']"
2804,금일 식사는 7시에 총각 김치랑 토마토 샐러드를 빨리 먹을것임,"['총각 김치', '토마토 샐러드']"
2805,금일 아침에 떡 토마토 샐러드를 적정량 먹었네,"['떡', '토마토 샐러드']"
2806,내일 모레 12시에 간짜장면 갈비를 조금만,"['간짜장면', '갈비']"
2807,오늘 식사는 12시에 한우와 비빔밥을 살짝 먹었어,"['한우', '비빔밥']"
2808,익일 식사는 점심으로 김치 볶음밥과 볶음밥을 급하게 먹었네,"['김치 볶음밥', '볶음밥']"
2809,내일 식사로는 아침으로 보쌈과 갈비탕을 급하게 먹을것임,"['보쌈', '갈비탕']"
2810,금일 식사로는 저녁에 소고기 비빔밥이랑 된장찌개를 조금만,"['소고기 비빔밥', '된장찌개']"
2811,"오늘 식사는 9시에 떡만두국, 한우를 살짝 먹음","['떡만두국', '한우']"
2812,오늘 식사로는 1시에 떡과 한우를 살짝 먹었다,"['떡', '한우']"
2813,익일 식사는 1시에 알리오올리오하고 오복쟁반을 맛있게 먹을게,"['알리오올리오', '오복쟁반']"
2814,익일 식사로는 오전에 쌀밥과 총각 김치를 적당히 먹을것 같아,"['쌀밥', '총각 김치']"
2815,"그저께 12시에 평양 냉면, 김치 볶음밥을 조금 먹을것 같아","['평양 냉면', '김치 볶음밥']"
2816,익일 식사로는 점심에 제육볶음하고 스테이크를 적당히 먹을게,"['제육볶음', '스테이크']"
2817,"내일 식사로는 점심에 햄버거, 팟타이랑 김치찌개 알리오올리오를 쪼금","['햄버거', '팟타이', '김치찌개', '알리오올리오']"
2818,내일 식사로는 오후에 한우하고 쌀밥을 맛있게,"['한우', '쌀밥']"
2819,오늘 식사로는 오전에 팟타이하고 토마토를 적정량 먹었다,"['팟타이', '토마토']"
2820,익일 식사는 저녁에 마라탕이랑 나시고랭을 적정량 먹음,"['마라탕', '나시고랭']"
2821,오늘 식사는 오후에 수육이랑 피자를 급하게 먹을게,"['수육', '피자']"
2822,금일 6시에 소고기 비빔밥과 평양 냉면을 조금 먹음,"['소고기 비빔밥', '평양 냉면']"
2823,그저께 8시에 삼겹살 간짜장면을 맛있게,"['삼겹살', '간짜장면']"
2824,내일  아침에 햄버거와 간짜장면을 쪼금,"['햄버거', '간짜장면']"
2825,그저께 저녁으로 배추랑 알리오올리오를 먹을게,"['배추', '알리오올리오']"
2826,오늘 오전에 한우 족발을 조금만 먹을꺼야,"['한우', '족발']"
2827,내일  아침에 족발과 총각 김치를 많이 먹었다,"['족발', '총각 김치']"
2828,일일 1시에 오복쟁반이랑 알리오올리오를 쪼금 먹었어,"['오복쟁반', '알리오올리오']"
2829,일일 8시에 탕수육이랑 오복쟁반을 빨리,"['탕수육', '오복쟁반']"
2830,익일 식사는 4시에 총각 김치와 냉면을 조금만 먹었네,"['총각 김치', '냉면']"
2831,내일  저녁으로 배추 김치하고 순두부찌개를 적정량 먹을것임,"['배추 김치', '순두부찌개']"
2832,일일 7시에 돈까스하고 스테이크하고 쌀밥을 조금 먹을꺼야,"['돈까스', '스테이크', '쌀밥']"
2833,익일 아침에 나시고랭과 김치찌개 팟타이를 살짝 먹음,"['나시고랭', '김치찌개', '팟타이']"
2834,내일  7시에 로제 파스타랑 돈까스를 많이 먹었다,"['로제 파스타', '돈까스']"
2835,금일 식사로는 3시에 배추 된장국이랑 토마토 샐러드를,"['배추 된장국', '토마토 샐러드']"
2836,3시에 보쌈하고 콩밥을 많이 먹을것임,"['보쌈', '콩밥']"
2837,오늘 식사는 아침에 배추 김치하고 마라탕을 적당히 먹을게,"['배추 김치', '마라탕']"
2838,오후에 알리오올리오를 쪼금 먹었네,['알리오올리오']
2839,"익일 식사로는 오전에 간짜장이랑 짜장면, 배추 된장국을 먹을것 같아","['간짜장', '짜장면', '배추 된장국']"
2840,"오늘 8시에 된장찌개, 된장 라면이랑 오복쟁반을 조금 먹음","['된장찌개', '된장 라면', '오복쟁반']"
2841,"금일 식사로는 저녁으로 밥, 콩밥을 살짝 먹었네","['밥', '콩밥']"
2842,익일 5시에 순두부찌개랑 된장 라면을 빨리 먹을것임,"['순두부찌개', '된장 라면']"
2843,"오늘 9시에 토마토 샐러드, 간짜장면을 급하게 먹음","['토마토 샐러드', '간짜장면']"
2844,오늘 점심에 김밥과 토마토 샐러드를 맛있게 먹을게,"['김밥', '토마토 샐러드']"
2845,내일  아침으로 토마토 떡만두국을 쪼금 먹을게,"['토마토', '떡만두국']"
2846,오늘 식사로는 마라탕과 배추 김치를 살짝 먹었어,"['마라탕', '배추 김치']"
2847,7시에 떡과 된장 라면을 적당히 먹을것 같아,"['떡', '된장 라면']"
2848,내일 식사로는 9시에 배추 된장국과 볶음밥을 조금 먹었다,"['배추 된장국', '볶음밥']"
2849,오늘 식사는 11시에 탕수육하고 배추 된장국을 쪼금 먹음,"['탕수육', '배추 된장국']"
2850,오늘 식사로는 점심에 떡이랑 떡을 살짝 먹음,"['떡', '떡']"
2851,오늘 식사로는 오후에 짜장면 떡을 살짝 먹었네,"['짜장면', '떡']"
2852,어제 저녁에 스테이크하고 스테이크를 적정량 먹을것임,"['스테이크', '스테이크']"
2853,익일 식사로는 7시에 냉면이랑 나시고랭을 적당히 먹었어,"['냉면', '나시고랭']"
2854,익일 식사는 5시에 된장 라면이랑 족발을 없음 먹음,"['된장 라면', '족발']"
2855,오늘 1시에 한우 수육을 빨리 먹을것 같아,"['한우', '수육']"
2856,"오늘 식사로는 11시에 돈까스, 토마토 파스타를 맛있게 먹었네","['돈까스', '토마토 파스타']"
2857,금일 식사는 2시에 김치 볶음밥이랑 갈비탕하고 피자를 급하게 먹었다,"['김치 볶음밥', '갈비탕', '피자']"
2858,내일 식사는 7시에 배추 김치하고 김치를 없음 먹었다,"['배추 김치', '김치']"
2859,오늘 간식으로 총각 김치하고 간짜장면을 적당히 먹었어,"['총각 김치', '간짜장면']"
2860,내일 식사로는 저녁으로 쌀밥이랑 피자를 적정량 먹었어,"['쌀밥', '피자']"
2861,금일 1시에 김치찜하고 소고기 비빔밥을 조금 먹음,"['김치찜', '소고기 비빔밥']"
2862,오늘 저녁에 총각 김치 갈비를 없음 먹었어,"['총각 김치', '갈비']"
2863,오늘 식사는 3시에 만두국 떡만두국을 적당히 먹었어,"['만두국', '떡만두국']"
2864,"금일 점심에 마라탕, 배추 김치를 적당히 먹음","['마라탕', '배추 김치']"
2865,"일일 저녁에 소고기, 콩밥을 없음","['소고기', '콩밥']"
2866,익일 식사로는 7시에 햄버거 족발을 많이 먹었어,"['햄버거', '족발']"
2867,"내일 식사는 5시에 스테이크, 갈비, 된장 라면하고 냉면, 짜장면을 조금 먹을것임","['스테이크', '갈비', '된장 라면', '냉면', '짜장면']"
2868,"일일 3시에 토마토 파스타, 냉면을 먹을꺼야","['토마토 파스타', '냉면']"
2869,익일 식사는 오후에 김치와 떡만두국을 맛있게 먹었네,"['김치', '떡만두국']"
2870,"내일 식사로는 점심으로 햄버거, 라면을 맛있게 먹을것임","['햄버거', '라면']"
2871,"12시에 삼겹살과 수육, 라면을 빨리","['삼겹살', '수육', '라면']"
2872,금일 식사는 점심으로 김밥하고 족발을 빨리 먹을게,"['김밥', '족발']"
2873,익일 식사로는 간식으로 쌀밥을 많이 먹을게,['쌀밥']
2874,금일 팟타이와 로제 파스타를 쪼금 먹음,"['팟타이', '로제 파스타']"
2875,내일  저녁에 라면 한우를 빨리 먹음,"['라면', '한우']"
2876,어제 오후에 김치 볶음밥이랑 배추 김치를 조금,"['김치 볶음밥', '배추 김치']"
2877,"익일 점심에 스테이크, 보쌈을 적정량 먹을것임","['스테이크', '보쌈']"
2878,그저께 4시에 김치 한우를 쪼금 먹었어,"['김치', '한우']"
2879,내일 식사는 9시에 수육이랑 떡을 살짝 먹었어,"['수육', '떡']"
2880,"4시에 라면, 탕수육을 맛있게 먹음","['라면', '탕수육']"
2881,금일 식사로는 저녁에 순두부찌개랑 콩밥을 쪼금 먹을꺼야,"['순두부찌개', '콩밥']"
2882,"어제 아침에 배추 김치, 소고기 비빔밥을 쪼금 먹었네","['배추 김치', '소고기 비빔밥']"
2883,일일 4시에 쌀밥이랑 김치찜을 조금 먹었다,"['쌀밥', '김치찜']"
2884,익일 식사로는 3시에 삼겹살하고 나시고랭을 맛있게 먹었어,"['삼겹살', '나시고랭']"
2885,금일 식사로는 오전에 볶음밥 한우를 먹었다,"['볶음밥', '한우']"
2886,일일 저녁으로 피자와 족발을 급하게 먹었어,"['피자', '족발']"
2887,오늘 간식으로 토마토 샐러드랑 간짜장면을 급하게 먹을꺼야,"['토마토 샐러드', '간짜장면']"
2888,금일 6시에 토마토하고 스테이크를 빨리 먹었다,"['토마토', '스테이크']"
2889,일일 7시에 된장찌개를 살짝 먹었다,['된장찌개']
2890,"익일 식사는 아침에 토마토 샐러드, 배추를 살짝","['토마토 샐러드', '배추']"
2891,금일 식사는 10시에 보쌈과 배추 된장국을 빨리 먹음,"['보쌈', '배추 된장국']"
2892,일일 아침으로 순두부찌개와 로제 파스타를 없음 먹을꺼야,"['순두부찌개', '로제 파스타']"
2893,"내일 모레 2시에 토마토 파스타, 짜장면을 맛있게 먹을것임","['토마토 파스타', '짜장면']"
2894,"익일 식사로는 아침으로 김밥, 돈까스를 조금만 먹었네","['김밥', '돈까스']"
2895,오늘 식사는 오전에 배추 된장국하고 족발을 먹을것 같아,"['배추 된장국', '족발']"
2896,"내일  점심에 만두국, 소고기 비빔밥을 조금 먹었다","['만두국', '소고기 비빔밥']"
2897,"오늘 식사는 3시에 라면, 갈비를 적당히 먹을게","['라면', '갈비']"
2898,"오늘 식사는 오전에 김치찜, 갈비탕을 적정량 먹을꺼야","['김치찜', '갈비탕']"
2899,금일 식사로는 간식으로 갈비랑 제육볶음을 적당히 먹음,"['갈비', '제육볶음']"
2900,어제 아침에 김치 볶음밥하고 떡을 없음 먹을것 같아,"['김치 볶음밥', '떡']"
2901,"오늘 식사는 9시에 한우, 팟타이를 적당히","['한우', '팟타이']"
2902,내일 식사로는 8시에 토마토 샐러드 제육볶음을 쪼금 먹었네,"['토마토 샐러드', '제육볶음']"
2903,익일 식사로는 오후에 족발 보쌈과 된장 라면을 빨리 먹었네,"['족발 보쌈', '된장 라면']"
2904,금일 식사로는 12시에 스테이크를 맛있게 먹음,['스테이크']
2905,내일 식사로는 아침으로 갈비와 햄버거를 조금 먹을것 같아,"['갈비', '햄버거']"
2906,내일 모레 오후에 보쌈 된장 라면을 없음 먹음,"['보쌈', '된장 라면']"
2907,내일  점심으로 피자랑 탕수육을 적당히 먹을것임,"['피자', '탕수육']"
2908,"익일 식사는 오후에 피자, 족발을 없음 먹었어","['피자', '족발']"
2909,내일 모레 6시에 된장 라면과 냉면을 빨리 먹을꺼야,"['된장 라면', '냉면']"
2910,일일 8시에 제육볶음이랑 보쌈을 적정량 먹었네,"['제육볶음', '보쌈']"
2911,그저께 아침에 족발 배추 김치를 많이,"['족발', '배추 김치']"
2912,오늘 식사로는 김치 볶음밥 간짜장면을 적정량 먹었어,"['김치 볶음밥', '간짜장면']"
2913,내일 모레 8시에 토마토 샐러드하고 한우를 조금 먹을꺼야,"['토마토 샐러드', '한우']"
2914,오늘 식사로는 간식으로 토마토랑 배추 된장국을 없음 먹을게,"['토마토', '배추 된장국']"
2915,어제 1시에 김밥하고 갈비탕을 쪼금 먹을꺼야,"['김밥', '갈비탕']"
2916,익일 식사로는 2시에 만두국하고 비빔밥을 맛있게 먹을게,"['만두국', '비빔밥']"
2917,그저께 9시에 된장찌개하고 된장찌개를 많이 먹었어,"['된장찌개', '된장찌개']"
2918,익일 식사로는 12시에 김밥 냉면을 없음 먹었어,"['김밥', '냉면']"
2919,오늘 식사로는 11시에 간짜장이랑 보쌈 순두부찌개 갈비탕을 맛있게 먹을것 같아,"['간짜장', '보쌈', '순두부찌개', '갈비탕']"
2920,내일  2시에 만두국하고 토마토를 쪼금 먹을것 같아,"['만두국', '토마토']"
2921,내일 식사는 점심으로 돈까스와 제육볶음을 많이 먹을것 같아,"['돈까스', '제육볶음']"
2922,익일 7시에 라면 햄버거를 조금 먹을것 같아,"['라면', '햄버거']"
