,sentence,foodlist
1882,5시에 수육을 살짝,['수육']
1883,"오늘 식사는 5시에 배추 된장국과 알리오올리오, 총각 김치를 조금만 먹었다","['배추 된장국', '알리오올리오', '총각 김치']"
1884,오늘 식사는 아침으로 김치하고 토마토 샐러드를 많이,"['김치', '토마토 샐러드']"
1885,오늘 식사로는 6시에 토마토를 빨리 먹었네,['토마토']
1886,"내일 모레 저녁에 탕수육, 비빔밥을 적정량 먹을것임","['탕수육', '비빔밥']"
1887,내일  4시에 배추 김치 나시고랭을 조금만,"['배추 김치', '나시고랭']"
1888,"그저께 1시에 한우, 보쌈을 많이 먹었다","['한우', '보쌈']"
1889,익일 오후에 떡만두국하고 수육을 빨리 먹을게,"['떡만두국', '수육']"
1890,어제 간식으로 소고기 비빔밥과 갈비탕을 맛있게 먹음,"['소고기 비빔밥', '갈비탕']"
1891,오늘 식사로는 아침으로 평양 냉면이랑 된장 라면을 적정량,"['평양 냉면', '된장 라면']"
1892,아침에 떡만두국이랑 삼겹살을 조금 먹을것임,"['떡만두국', '삼겹살']"
1893,순두부찌개랑 밥을 먹을게,"['순두부찌개', '밥']"
1894,금일 식사로는 1시에 마라탕과 소고기 비빔밥을 적정량 먹었어,"['마라탕', '소고기 비빔밥']"
1895,익일 아침으로 토마토와 평양 냉면을 먹었네,"['토마토', '평양 냉면']"
1896,금일 식사로는 점심에 라면을 적정량 먹을게,['라면']
1897,내일  8시에 갈비와 스테이크하고 한우랑 콩밥 토마토 파스타를 맛있게 먹었어,"['갈비', '스테이크', '한우', '콩밥', '토마토 파스타']"
1898,오늘 5시에 간짜장하고 마라탕을 적정량 먹음,"['간짜장', '마라탕']"
1899,어제 10시에 볶음밥과 냉면을 적정량 먹음,"['볶음밥', '냉면']"
1900,일일 로제 파스타와 밥을 없음 먹었다,"['로제 파스타', '밥']"
1901,익일 식사는 8시에 배추 김치를 적당히 먹었다,['배추 김치']
1902,내일 식사는 10시에 평양 냉면과 소고기 비빔밥을 적정량 먹음,"['평양 냉면', '소고기 비빔밥']"
1903,"내일  간식으로 수육, 오복쟁반을 살짝 먹을게","['수육', '오복쟁반']"
1904,금일 식사는 간식으로 족발이랑 배추 된장국을 많이 먹을게,"['족발', '배추 된장국']"
1905,내일 식사로는 아침에 소고기와 총각 김치를 많이,"['소고기', '총각 김치']"
1906,내일 식사는 11시에 배추 된장국이랑 수육이랑 김치찌개를 살짝 먹을것 같아,"['배추 된장국', '수육', '김치찌개']"
1907,오늘 식사는 10시에 삼겹살과 쌀밥을 먹을것임,"['삼겹살', '쌀밥']"
1908,오늘 식사로는 점심에 마라탕과 스테이크를 빨리 먹을것임,"['마라탕', '스테이크']"
1909,금일 9시에 김밥이랑 햄버거를 급하게 먹었네,"['김밥', '햄버거']"
1910,오늘 식사는 팟타이하고 알리오올리오를 많이 먹을것임,"['팟타이', '알리오올리오']"
1911,내일 식사로는 9시에 마라탕 떡을 쪼금 먹었네,"['마라탕', '떡']"
1912,내일 식사로는 점심에 간짜장면하고 갈비탕을 급하게 먹었다,"['간짜장면', '갈비탕']"
1913,"금일 점심으로 배추, 나시고랭을 많이 먹음","['배추', '나시고랭']"
1914,오늘 아침으로 배추 된장국과 총각 김치를 많이 먹었다,"['배추 된장국', '총각 김치']"
1915,익일 저녁으로 만두국과 간짜장을 급하게 먹을것 같아,"['만두국', '간짜장']"
1916,"오늘 식사로는 10시에 간짜장, 총각 김치를 적정량 먹을것 같아","['간짜장', '총각 김치']"
1917,일일 점심에 소고기 비빔밥하고 소고기 비빔밥을 빨리 먹을꺼야,"['소고기 비빔밥', '소고기 비빔밥']"
1918,금일 식사로는 간식으로 수육과 토마토 샐러드를 많이 먹었다,"['수육', '토마토 샐러드']"
1919,익일 식사는 12시에 로제 파스타 짜장면을 조금만 먹었네,"['로제 파스타', '짜장면']"
1920,익일 냉면하고 토마토를 많이 먹을게,"['냉면', '토마토']"
1921,"익일 식사는 오후에 오복쟁반, 보쌈을 살짝 먹을것 같아","['오복쟁반', '보쌈']"
1922,내일 모레 오전에 순두부찌개 된장찌개를 먹었다,"['순두부찌개', '된장찌개']"
1923,익일 식사는 저녁에 배추 김치 삼겹살을 살짝 먹을게,"['배추 김치', '삼겹살']"
1924,어제 10시에 평양 냉면 족발 보쌈을 쪼금 먹었네,"['평양 냉면', '족발 보쌈']"
1925,금일 오후에 나시고랭 김치 볶음밥을 급하게 먹을것임,"['나시고랭', '김치 볶음밥']"
1926,"그저께 한우, 순두부찌개를 살짝 먹었어","['한우', '순두부찌개']"
1927,"익일 9시에 간짜장, 된장 라면을 먹었다","['간짜장', '된장 라면']"
1928,금일 점심에 떡과 순두부찌개를 조금,"['떡', '순두부찌개']"
1929,"익일 식사는 1시에 만두국, 만두국을 없음 먹었네","['만두국', '만두국']"
1930,오늘 식사로는 오후에 보쌈 소고기 비빔밥을 맛있게 먹을꺼야,"['보쌈', '소고기 비빔밥']"
1931,오늘 식사는 12시에 라면을 조금 먹을것임,['라면']
1932,"익일 식사는 9시에 토마토, 갈비탕을 빨리 먹음","['토마토', '갈비탕']"
1933,"일일 점심에 된장 라면, 김밥을 조금만 먹을것임","['된장 라면', '김밥']"
1934,어제 1시에 족발하고 배추 김치를 빨리 먹을것임,"['족발', '배추 김치']"
1935,어제 점심에 김치찌개와 밥을 먹었네,"['김치찌개', '밥']"
1936,익일 토마토 파스타하고 토마토를 쪼금 먹었다,"['토마토 파스타', '토마토']"
1937,"익일 식사로는 1시에 마라탕, 보쌈을 없음 먹었어","['마라탕', '보쌈']"
1938,금일 식사는 오전에 제육볶음이랑 떡만두국을 적정량 먹었어,"['제육볶음', '떡만두국']"
1939,내일 모레 간식으로 된장 라면과 탕수육을 조금 먹을것 같아,"['된장 라면', '탕수육']"
1940,익일 식사로는 아침에 소고기랑 배추 된장국을 맛있게 먹을게,"['소고기', '배추 된장국']"
1941,오늘 5시에 소고기랑 알리오올리오를 없음 먹었어,"['소고기', '알리오올리오']"
1942,오늘 식사는 배추 김치 간짜장을 조금만 먹음,"['배추 김치', '간짜장']"
1943,"그저께 간식으로 김치찜, 햄버거를 먹을게","['김치찜', '햄버거']"
1944,내일 모레 저녁에 배추 된장국하고 로제 파스타를 조금만 먹음,"['배추 된장국', '로제 파스타']"
1945,익일 식사로는 점심에 팟타이와 볶음밥을 적정량 먹을것 같아,"['팟타이', '볶음밥']"
1946,익일 점심으로 라면 떡을 쪼금 먹었다,"['라면', '떡']"
1947,금일 식사는 10시에 냉면이랑 라면을 조금 먹었네,"['냉면', '라면']"
1948,금일 식사로는 오후에 간짜장면이랑 탕수육이랑 라면 김치 볶음밥을 조금만 먹을것임,"['간짜장면', '탕수육', '라면', '김치 볶음밥']"
1949,익일 식사는 아침에 볶음밥이랑 토마토를 적당히 먹었네,"['볶음밥', '토마토']"
1950,익일 식사는 3시에 라면 배추를 적정량 먹었네,"['라면', '배추']"
1951,그저께 아침에 떡만두국 한우를 적당히 먹을것임,"['떡만두국', '한우']"
1952,내일 모레 아침에 제육볶음을 빨리 먹을것 같아,['제육볶음']
1953,익일 5시에 된장 라면이랑 배추 김치를 맛있게 먹을것임,"['된장 라면', '배추 김치']"
1954,오늘 식사로는 9시에 간짜장과 김치찜을 맛있게,"['간짜장', '김치찜']"
1955,"내일 식사는 저녁으로 토마토 파스타하고 만두국, 떡하고 김밥을 많이 먹을게","['토마토 파스타', '만두국', '떡', '김밥']"
1956,내일 모레 10시에 토마토 파스타하고 배추 김치를 적정량 먹음,"['토마토 파스타', '배추 김치']"
1957,내일 식사는 5시에 간짜장면하고 로제 파스타를 적당히 먹었어,"['간짜장면', '로제 파스타']"
1958,금일 8시에 총각 김치와 쌀밥하고 간짜장면을 살짝,"['총각 김치', '쌀밥', '간짜장면']"
1959,어제 9시에 토마토 샐러드하고 김치찜 간짜장을 맛있게 먹을것임,"['토마토 샐러드', '김치찜', '간짜장']"
1960,일일 3시에 소고기와 만두국을 빨리 먹을꺼야,"['소고기', '만두국']"
1961,내일 모레 저녁으로 떡만두국하고 배추 김치를 쪼금 먹음,"['떡만두국', '배추 김치']"
1962,오늘 식사는 오후에 된장찌개랑 김치찜을 빨리,"['된장찌개', '김치찜']"
1963,내일 모레 아침으로 떡만두국과 소고기를 빨리 먹음,"['떡만두국', '소고기']"
1964,오늘 식사로는 오후에 비빔밥과 나시고랭을 쪼금 먹을것임,"['비빔밥', '나시고랭']"
1965,"오늘 식사로는 3시에 김치찌개, 김치 볶음밥을 쪼금 먹었다","['김치찌개', '김치 볶음밥']"
1966,"익일 8시에 김치찌개, 떡만두국을 조금만 먹을게","['김치찌개', '떡만두국']"
1967,"금일 식사로는 점심으로 김밥, 된장찌개를 쪼금 먹었네","['김밥', '된장찌개']"
1968,익일 식사는 저녁으로 스테이크와 알리오올리오를 적정량 먹을게,"['스테이크', '알리오올리오']"
1969,"익일 식사는 4시에 콩밥, 볶음밥을 많이 먹을것 같아","['콩밥', '볶음밥']"
1970,1시에 라면하고 제육볶음을 적당히 먹었네,"['라면', '제육볶음']"
1971,익일 식사로는 1시에 햄버거와 김치를 많이 먹을게,"['햄버거', '김치']"
1972,금일 식사로는 2시에 배추 김치와 수육을 맛있게 먹을게,"['배추 김치', '수육']"
1973,금일 식사로는 아침으로 간짜장과 라면을 없음 먹을것임,"['간짜장', '라면']"
1974,오늘 식사로는 토마토 샐러드 볶음밥을 빨리 먹었네,"['토마토 샐러드', '볶음밥']"
1975,금일 식사로는 3시에 나시고랭 만두국을 적정량 먹음,"['나시고랭', '만두국']"
1976,익일 저녁에 족발 보쌈하고 햄버거를 적당히 먹었어,"['족발 보쌈', '햄버거']"
1977,오늘 아침으로 김치찜하고 알리오올리오를 빨리 먹었어,"['김치찜', '알리오올리오']"
1978,"내일 모레 2시에 제육볶음, 된장 라면을 맛있게 먹을꺼야","['제육볶음', '된장 라면']"
1979,내일 식사로는 11시에 알리오올리오랑 팟타이를 적정량 먹었네,"['알리오올리오', '팟타이']"
1980,익일 2시에 밥 토마토를 맛있게 먹을것임,"['밥', '토마토']"
1981,내일 식사는 아침으로 수육하고 김밥을 조금만 먹을것 같아,"['수육', '김밥']"
1982,오늘 점심으로 된장찌개랑 냉면을 살짝 먹었다,"['된장찌개', '냉면']"
1983,오늘 식사로는 아침으로 소고기하고 김치 볶음밥을 쪼금 먹음,"['소고기', '김치 볶음밥']"
1984,익일 1시에 콩밥과 콩밥을 쪼금 먹을게,"['콩밥', '콩밥']"
1985,오늘 식사로는 3시에 배추 김치 비빔밥을 살짝 먹었네,"['배추 김치', '비빔밥']"
1986,오늘 식사로는 8시에 소고기를 없음 먹었다,['소고기']
1987,내일 식사는 2시에 로제 파스타하고 나시고랭을 많이 먹었네,"['로제 파스타', '나시고랭']"
1988,그저께 탕수육 돈까스를 조금만 먹을것임,"['탕수육', '돈까스']"
1989,그저께 11시에 갈비 제육볶음을 쪼금 먹을게,"['갈비', '제육볶음']"
1990,금일 저녁에 토마토 파스타랑 소고기를 적당히 먹었네,"['토마토 파스타', '소고기']"
1991,어제 2시에 볶음밥이랑 한우를 살짝 먹을것 같아,"['볶음밥', '한우']"
1992,"오늘 5시에 갈비, 피자를 많이 먹었어","['갈비', '피자']"
1993,어제 7시에 김치찌개와 배추 된장국을 없음 먹을것임,"['김치찌개', '배추 된장국']"
1994,익일 식사로는 7시에 제육볶음하고 돈까스하고 간짜장을 조금만,"['제육볶음', '돈까스', '간짜장']"
1995,오늘 식사로는 6시에 평양 냉면과 피자를 적당히 먹음,"['평양 냉면', '피자']"
1996,"오늘 식사는 7시에 보쌈, 배추 김치를 먹을것임","['보쌈', '배추 김치']"
1997,오늘 7시에 김치찌개랑 김치 볶음밥을 쪼금 먹었네,"['김치찌개', '김치 볶음밥']"
1998,내일 식사로는 오전에 제육볶음과 토마토 파스타를 적당히 먹을것임,"['제육볶음', '토마토 파스타']"
1999,일일 9시에 족발 보쌈과 라면을 조금 먹음,"['족발 보쌈', '라면']"
2000,오늘 7시에 족발을 빨리 먹을꺼야,['족발']
2001,금일 식사로는 오전에 오복쟁반이랑 족발 보쌈을 먹었네,"['오복쟁반', '족발 보쌈']"
2002,금일 식사는 점심에 냉면과 한우를 살짝 먹을게,"['냉면', '한우']"
2003,일일 9시에 냉면 만두국을 맛있게 먹을꺼야,"['냉면', '만두국']"
2004,내일  12시에 토마토 파스타 라면을 조금,"['토마토 파스타', '라면']"
2005,내일 모레 11시에 탕수육 김밥을 살짝 먹을것 같아,"['탕수육', '김밥']"
2006,금일 식사로는 12시에 피자 짜장면을 적당히 먹을게,"['피자', '짜장면']"
2007,오늘 식사는 아침에 제육볶음 배추를 급하게 먹었어,"['제육볶음', '배추']"
2008,익일 식사는 6시에 만두국과 볶음밥을 살짝 먹을게,"['만두국', '볶음밥']"
2009,오늘 식사로는 12시에 된장 라면하고 피자를 조금만 먹었다,"['된장 라면', '피자']"
2010,"오늘 식사는 3시에 배추 김치, 족발 보쌈 탕수육하고 토마토 샐러드를 적당히 먹을게","['배추 김치', '족발 보쌈', '탕수육', '토마토 샐러드']"
2011,12시에 간짜장이랑 된장 라면을 맛있게 먹었네,"['간짜장', '된장 라면']"
2012,내일 모레 점심으로 김치 볶음밥을 맛있게 먹을것 같아,"['김치', '볶음밥']"
2013,금일 식사로는 11시에 삼겹살이랑 냉면을 조금 먹을것 같아,"['삼겹살', '냉면']"
2014,오늘 식사는 7시에 족발 보쌈하고 콩밥을 많이 먹을것임,"['족발 보쌈', '콩밥']"
2015,그저께 3시에 콩밥과 비빔밥을 적정량,"['콩밥', '비빔밥']"
2016,익일 점심에 마라탕 간짜장을 조금 먹었어,"['마라탕', '간짜장']"
2017,익일 식사로는 아침에 피자랑 만두국을 살짝 먹을게,"['피자', '만두국']"
2018,그저께 8시에 김치 볶음밥 소고기 비빔밥을 급하게 먹을꺼야,"['김치 볶음밥', '소고기 비빔밥']"
2019,내일 식사로는 저녁에 볶음밥하고 족발을 빨리 먹을꺼야,"['볶음밥', '족발']"
2020,내일 식사는 간식으로 배추 김치와 피자를 먹을것임,"['배추 김치', '피자']"
2021,그저께 8시에 김치하고 김치찌개하고 보쌈을 적정량 먹었네,"['김치', '김치찌개', '보쌈']"
2022,그저께 1시에 총각 김치와 토마토를 빨리 먹을꺼야,"['총각 김치', '토마토']"
2023,내일 모레 2시에 짜장면과 삼겹살을 조금 먹었어,"['짜장면', '삼겹살']"
2024,금일 2시에 보쌈과 갈비탕을 맛있게 먹을것임,"['보쌈', '갈비탕']"
2025,익일 3시에 김치찜 소고기를 많이 먹었네,"['김치찜', '소고기']"
2026,그저께 간식으로 소고기와 배추 김치를 없음 먹을것 같아,"['소고기', '배추 김치']"
2027,내일 식사로는 오전에 평양 냉면 소고기 비빔밥을 적정량 먹을꺼야,"['평양 냉면', '소고기 비빔밥']"
2028,일일 3시에 배추랑 김치찜을 많이 먹었다,"['배추', '김치찜']"
2029,그저께 저녁으로 토마토 파스타랑 족발을 살짝 먹었어,"['토마토 파스타', '족발']"
2030,익일 11시에 콩밥이랑 된장 라면을 조금만 먹을게,"['콩밥', '된장 라면']"
2031,오늘 식사는 11시에 배추 김치와 나시고랭을 많이 먹었어,"['배추 김치', '나시고랭']"
2032,내일  아침으로 소고기 비빔밥 순두부찌개를 맛있게 먹었네,"['소고기 비빔밥', '순두부찌개']"
2033,익일 7시에 배추 김치랑 라면을 적당히 먹었네,"['배추 김치', '라면']"
2034,"내일 식사로는 7시에 삼겹살, 토마토를 살짝 먹을것임","['삼겹살', '토마토']"
2035,내일 모레 오전에 갈비탕 토마토 샐러드를 빨리 먹었다,"['갈비탕', '토마토 샐러드']"
2036,"오늘 7시에 라면, 떡만두국을 조금 먹을게","['라면', '떡만두국']"
2037,"내일 식사로는 점심으로 족발 토마토 파스타, 보쌈을 적정량 먹었다","['족발', '토마토 파스타', '보쌈']"
2038,금일 식사는 점심으로 족발 보쌈 떡을 급하게 먹을것 같아,"['족발 보쌈', '떡']"
2039,"내일 모레 간식으로 쌀밥, 갈비탕을 적정량 먹었어","['쌀밥', '갈비탕']"
2040,금일 식사로는 11시에 피자 떡을 살짝 먹었어,"['피자', '떡']"
2041,일일 2시에 만두국 제육볶음을 적당히 먹음,"['만두국', '제육볶음']"
2042,금일 식사로는 1시에 피자를 조금만 먹었다,['피자']
2043,오늘 식사로는 6시에 된장 라면과 팟타이를 조금 먹을것임,"['된장 라면', '팟타이']"
2044,오늘 5시에 제육볶음이랑 햄버거를 적정량 먹었어,"['제육볶음', '햄버거']"
2045,오늘 3시에 떡하고 마라탕을 적당히 먹음,"['떡', '마라탕']"
2046,내일 식사는 2시에 족발하고 된장찌개를 적정량,"['족발', '된장찌개']"
2047,오늘 10시에 된장찌개하고 팟타이를 조금 먹을꺼야,"['된장찌개', '팟타이']"
2048,오늘 식사는 9시에 라면하고 된장찌개를 조금만 먹을게,"['라면', '된장찌개']"
2049,내일 식사는 10시에 소고기 수육을 쪼금 먹었다,"['소고기', '수육']"
2050,"내일 식사로는 간식으로 밥, 김치 볶음밥을 먹었어","['밥', '김치 볶음밥']"
2051,오늘 식사로는 아침에 떡하고 토마토 샐러드를 살짝 먹었다,"['떡', '토마토 샐러드']"
2052,오늘 식사는 7시에 보쌈 밥하고 나시고랭과 콩밥 돈까스를 적정량 먹었네,"['보쌈', '밥', '나시고랭', '콩밥', '돈까스']"
2053,어제 12시에 토마토하고 토마토를 먹었어,"['토마토', '토마토']"
2054,오늘 5시에 김치랑 보쌈을 먹을것임,"['김치', '보쌈']"
2055,오늘 식사는 9시에 팟타이랑 나시고랭을 많이 먹었네,"['팟타이', '나시고랭']"
2056,금일 식사는 점심에 배추 김치와 배추 김치하고 족발 보쌈이랑 김치찌개와 햄버거를 빨리 먹었네,"['배추 김치', '배추 김치', '족발 보쌈', '김치찌개', '햄버거']"
2057,오늘 식사로는 5시에 삼겹살이랑 쌀밥하고 제육볶음을 조금 먹었다,"['삼겹살', '쌀밥', '제육볶음']"
2058,내일 모레 오후에 소고기 비빔밥 갈비를 없음 먹었네,"['소고기 비빔밥', '갈비']"
2059,내일  8시에 보쌈이랑 탕수육을 살짝,"['보쌈', '탕수육']"
2060,익일 제육볶음 배추 된장국을 급하게 먹을것 같아,"['제육볶음', '배추 된장국']"
2061,그저께 12시에 김밥이랑 만두국을 빨리,"['김밥', '만두국']"
2062,익일 저녁으로 김밥과 갈비탕을 조금만 먹음,"['김밥', '갈비탕']"
2063,내일  7시에 쌀밥하고 돈까스를 쪼금 먹었다,"['쌀밥', '돈까스']"
2064,금일 오전에 떡만두국이랑 토마토를 쪼금 먹을게,"['떡만두국', '토마토']"
2065,내일 식사로는 점심으로 오복쟁반 토마토를 맛있게 먹을것 같아,"['오복쟁반', '토마토']"
2066,"오늘 식사는 1시에 한우, 오복쟁반 한우를 조금 먹을것 같아","['한우', '오복쟁반', '한우']"
2067,익일 간식으로 라면하고 만두국을 적정량,"['라면', '만두국']"
2068,오늘 6시에 김치 돈까스를 조금 먹을게,"['김치', '돈까스']"
2069,"내일 모레 오후에 김치 볶음밥, 팟타이를 많이 먹었네","['김치 볶음밥', '팟타이']"
2070,익일 점심에 햄버거 족발 보쌈을 먹을것임,"['햄버거', '족발 보쌈']"
2071,내일 식사로는 8시에 소고기랑 팟타이를 적당히 먹을것임,"['소고기', '팟타이']"
2072,금일 11시에 김치찌개 로제 파스타를 없음 먹을것임,"['김치찌개', '로제 파스타']"
2073,"오늘 식사는 10시에 로제 파스타, 갈비를 쪼금 먹을게","['로제 파스타', '갈비']"
2074,내일 식사는 8시에 배추 된장국이랑 알리오올리오를 먹었다,"['배추 된장국', '알리오올리오']"
2075,금일 식사는 6시에 콩밥하고 라면을 적정량 먹을것 같아,"['콩밥', '라면']"
2076,내일 식사로는 4시에 한우하고 토마토를 살짝 먹었네,"['한우', '토마토']"
2077,금일 9시에 삼겹살을 급하게 먹을꺼야,['삼겹살']
2078,"그저께 10시에 로제 파스타, 스테이크를 조금만 먹었어","['로제 파스타', '스테이크']"
2079,그저께 1시에 마라탕하고 토마토 파스타를 급하게 먹을것 같아,"['마라탕', '토마토 파스타']"
2080,금일 식사는 아침으로 떡만두국 알리오올리오를 쪼금 먹을것임,"['떡만두국', '알리오올리오']"
2081,일일 6시에 김치찜 족발을 조금 먹을것 같아,"['김치찜', '족발']"
2082,오전에 배추 김치와 김치찜을 급하게 먹었다,"['배추 김치', '김치찜']"
2083,오늘 점심에 토마토 샐러드 순두부찌개를 없음 먹을것임,"['토마토 샐러드', '순두부찌개']"
2084,"내일 식사는 저녁으로 팟타이, 피자를 적정량 먹었다","['팟타이', '피자']"
2085,일일 1시에 탕수육 배추하고 팟타이와 탕수육을 많이 먹을것임,"['탕수육', '배추', '팟타이', '탕수육']"
2086,3시에 김밥 한우를 적정량 먹을것임,"['김밥', '한우']"
2087,어제 저녁으로 토마토 파스타하고 콩밥을 적정량 먹었어,"['토마토 파스타', '콩밥']"
2088,"금일 식사는 11시에 떡만두국, 갈비탕을 적정량 먹을것 같아","['떡만두국', '갈비탕']"
2089,8시에 콩밥하고 수육을 쪼금 먹음,"['콩밥', '수육']"
2090,"내일  점심에 배추 김치, 로제 파스타를 조금만 먹을꺼야","['배추 김치', '로제 파스타']"
2091,오늘 1시에 한우랑 나시고랭을 적당히 먹었어,"['한우', '나시고랭']"
2092,"익일 오전에 떡만두국, 토마토 샐러드를 쪼금 먹었다","['떡만두국', '토마토 샐러드']"
2093,내일  오후에 삼겹살과 배추 김치를 많이 먹었어,"['삼겹살', '배추 김치']"
2094,내일  오전에 순두부찌개랑 순두부찌개를 먹었어,"['순두부찌개', '순두부찌개']"
2095,어제 오전에 만두국과 갈비를 조금만 먹었어,"['만두국', '갈비']"
2096,"오늘 식사로는 3시에 김치 볶음밥, 냉면을 쪼금 먹었어","['김치 볶음밥', '냉면']"
2097,"오늘 식사로는 배추, 콩밥을 살짝 먹을것임","['배추', '콩밥']"
2098,내일 식사는 4시에 간짜장 보쌈을 조금,"['간짜장', '보쌈']"
2099,오늘 식사는 저녁으로 배추 김치랑 토마토를 맛있게 먹었어,"['배추 김치', '토마토']"
2100,금일 식사는 7시에 간짜장 알리오올리오를 많이 먹을꺼야,"['간짜장', '알리오올리오']"
2101,"익일 식사로는 8시에 돈까스, 콩밥을 많이 먹었어","['돈까스', '콩밥']"
2102,"금일 식사로는 저녁으로 간짜장면, 총각 김치를 조금만 먹을꺼야","['간짜장면', '총각 김치']"
2103,금일 식사는 간식으로 토마토 파스타와 족발을 빨리 먹음,"['토마토 파스타', '족발']"
2104,어제 10시에 된장 라면과 팟타이를 쪼금 먹을것 같아,"['된장 라면', '팟타이']"
2105,내일  아침에 김치찜과 스테이크를 많이 먹음,"['김치찜', '스테이크']"
2106,금일 식사는 8시에 알리오올리오와 밥을 살짝 먹었다,"['알리오올리오', '밥']"
2107,일일 점심에 된장 라면이랑 간짜장을 적당히 먹을게,"['된장 라면', '간짜장']"
2108,익일 식사는 6시에 만두국이랑 볶음밥을 빨리 먹을것임,"['만두국', '볶음밥']"
2109,그저께 저녁으로 로제 파스타하고 평양 냉면을 살짝 먹을꺼야,"['로제 파스타', '평양 냉면']"
2110,"내일 식사는 저녁에 탕수육, 간짜장을 맛있게","['탕수육', '간짜장']"
2111,익일 4시에 스테이크와 탕수육하고 평양 냉면하고 김치찌개를 많이 먹을게,"['스테이크', '탕수육', '평양 냉면', '김치찌개']"
2112,익일 식사는 10시에 스테이크와 토마토를 적정량 먹을게,"['스테이크', '토마토']"
2113,"금일 식사로는 5시에 간짜장면, 족발 보쌈을 많이 먹을꺼야","['간짜장면', '족발 보쌈']"
2114,"오늘 6시에 김치, 토마토 샐러드를 조금 먹을꺼야","['김치', '토마토 샐러드']"
2115,오늘 식사는 8시에 떡만두국 오복쟁반을 적당히,"['떡만두국', '오복쟁반']"
2116,금일 식사로는 6시에 김밥 간짜장을 조금,"['김밥', '간짜장']"
2117,어제 9시에 순두부찌개 된장찌개를 조금 먹음,"['순두부찌개', '된장찌개']"
2118,오늘 간식으로 된장 라면이랑 마라탕을 적정량 먹었어,"['된장 라면', '마라탕']"
2119,금일 식사로는 3시에 콩밥과 피자를 빨리 먹을꺼야,"['콩밥', '피자']"
2120,익일 6시에 김치찜과 갈비탕을 급하게 먹었어,"['김치찜', '갈비탕']"
2121,금일 점심에 순두부찌개를 적당히 먹을꺼야,['순두부찌개']
2122,금일 식사로는 12시에 갈비탕이랑 갈비를 먹었네,"['갈비탕', '갈비']"
2123,"그저께 5시에 떡만두국, 보쌈을 조금만 먹을게","['떡만두국', '보쌈']"
2124,어제 저녁으로 총각 김치와 토마토를 조금 먹을게,"['총각 김치', '토마토']"
2125,일일 6시에 배추 된장국과 탕수육을 쪼금 먹을것임,"['배추 된장국', '탕수육']"
2126,"아침으로 스테이크, 팟타이를 적정량","['스테이크', '팟타이']"
2127,오늘 3시에 팟타이와 돈까스랑 콩밥을 살짝 먹을것임,"['팟타이', '돈까스', '콩밥']"
2128,"그저께 점심으로 소고기, 한우를 급하게 먹었네","['소고기', '한우']"
2129,익일 식사는 오후에 토마토 샐러드랑 제육볶음을 적당히 먹음,"['토마토 샐러드', '제육볶음']"
2130,익일 아침에 된장찌개랑 김치 볶음밥을 빨리,"['된장찌개', '김치 볶음밥']"
2131,어제 아침으로 보쌈하고 햄버거를 조금만 먹었어,"['보쌈', '햄버거']"
2132,오늘 식사는 저녁에 간짜장 볶음밥을 살짝,"['간짜장', '볶음밥']"
2133,익일 식사로는 7시에 토마토 평양 냉면을 조금 먹을꺼야,"['토마토', '평양 냉면']"
2134,"금일 식사로는 아침으로 돈까스, 평양 냉면을 조금","['돈까스', '평양 냉면']"
2135,내일  아침으로 삼겹살하고 순두부찌개를 조금만 먹음,"['삼겹살', '순두부찌개']"
2136,"그저께 9시에 떡만두국이랑 간짜장면, 스테이크를 빨리 먹을게","['떡만두국', '간짜장면', '스테이크']"
2137,"내일 식사는 점심으로 냉면, 김밥을 살짝 먹을것 같아","['냉면', '김밥']"
2138,어제 저녁에 쌀밥이랑 떡을 쪼금,"['쌀밥', '떡']"
2139,오늘 식사는 아침으로 수육과 총각 김치를 빨리 먹을꺼야,"['수육', '총각 김치']"
2140,오늘 아침으로 배추 김치를 적정량 먹을것임,['배추 김치']
2141,일일 9시에 한우 햄버거를 없음 먹을꺼야,"['한우', '햄버거']"
2142,그저께 4시에 팟타이 냉면을 살짝 먹음,"['팟타이', '냉면']"
2143,내일 식사로는 아침으로 김치찌개랑 콩밥을 많이 먹을게,"['김치찌개', '콩밥']"
2144,"금일 배추하고 콩밥, 보쌈과 한우 김밥을 많이 먹을꺼야","['배추', '콩밥', '보쌈', '한우', '김밥']"
2145,오늘 식사는 7시에 족발 김치를 맛있게 먹을게,"['족발', '김치']"
2146,오늘 10시에 냉면이랑 김치찜을 적당히 먹었어,"['냉면', '김치찜']"
2147,오늘 7시에 햄버거와 마라탕을 적당히,"['햄버거', '마라탕']"
2148,내일 식사로는 저녁에 간짜장면과 평양 냉면을 쪼금 먹을것임,"['간짜장면', '평양 냉면']"
2149,오늘 식사는 7시에 토마토하고 김치를 급하게,"['토마토', '김치']"
2150,익일 식사로는 돈까스하고 짜장면이랑 소고기를 맛있게 먹을게,"['돈까스', '짜장면', '소고기']"
2151,어제 4시에 김치찌개 나시고랭을 먹었어,"['김치찌개', '나시고랭']"
2152,금일 식사는 5시에 수육이랑 짜장면을 먹었네,"['수육', '짜장면']"
2153,오늘 식사로는 오전에 족발 보쌈과 떡만두국을 쪼금,"['족발 보쌈', '떡만두국']"
2154,"익일 식사로는 점심에 토마토, 로제 파스타를 조금 먹을것 같아","['토마토', '로제 파스타']"
2155,금일 5시에 토마토와 알리오올리오를 쪼금 먹을꺼야,"['토마토', '알리오올리오']"
